ResidentDate,Total_Admissions,ResidentDate_year,ResidentDate_month,ResidentDate_day,ResidentDate_weekday,is_weekend,season,temperature_max,temperature_min,temp_range,precipitation,is_rain,Festival,pandemic_flag,disaster_flag,Total_Admissions_Lag1,Total_Admissions_Lag7,Total_Admissions_MA7,Total_Admissions_MA14,Total_Admissions_EMA,Total_Admissions_Rolling_Std,Total_Admissions_Rolling_Min,Total_Admissions_Rolling_Max
2021-07-10,71,2021,7,10,5,1,3,32.1,26.2,5.900000000000002,768.6,1,0,0,0,68.0,47.0,53.285714285714285,46.92857142857143,57.00226238846835,12.76341497816151,38.0,71.0
2021-07-11,70,2021,7,11,6,1,3,33.9,27.0,6.899999999999999,152.6,1,1,0,1,71.0,40.0,57.57142857142857,50.5,60.251696791351264,12.594405409507901,38.0,71.0
2021-07-12,65,2021,7,12,0,0,3,32.1,26.1,6.0,46.0,1,1,0,0,70.0,48.0,60.0,51.857142857142854,61.43877259351345,12.069244660154178,38.0,71.0
2021-07-13,70,2021,7,13,1,0,3,33.2,26.6,6.600000000000001,459.19999999999993,1,0,0,0,65.0,38.0,64.57142857142857,53.57142857142857,63.579079445135086,7.568732673684961,52.0,71.0
2021-07-14,49,2021,7,14,2,0,3,32.3,26.0,6.299999999999997,508.79999999999995,1,0,0,0,70.0,56.0,63.57142857142857,54.214285714285715,59.93430958385132,9.180725150319372,49.0,71.0
2021-07-15,57,2021,7,15,3,0,3,32.8,25.0,7.799999999999997,561.6,1,0,0,0,49.0,52.0,64.28571428571429,55.214285714285715,59.20073218788849,8.280786712107776,49.0,71.0
2021-07-16,61,2021,7,16,4,0,3,32.2,26.1,6.100000000000001,1989.9,1,0,0,0,57.0,68.0,63.285714285714285,56.57142857142857,59.65054914091637,8.179533110438173,49.0,71.0
2021-07-17,70,2021,7,17,5,1,3,31.8,25.6,6.199999999999999,3403.6,1,0,0,0,61.0,71.0,63.142857142857146,58.214285714285715,62.23791185568727,8.02970674907764,49.0,70.0
2021-07-18,37,2021,7,18,6,1,3,31.2,24.9,6.300000000000001,995.6,1,1,0,0,70.0,70.0,58.42857142857143,58.0,55.92843389176545,12.02576598886914,37.0,70.0
2021-07-19,51,2021,7,19,0,0,3,33.4,26.0,7.399999999999999,104.4,1,0,0,0,37.0,65.0,56.42857142857143,58.214285714285715,54.69632541882409,11.914377069422294,37.0,70.0
2021-07-20,49,2021,7,20,1,0,3,34.2,26.3,7.900000000000002,0.0,0,0,0,0,51.0,70.0,53.42857142857143,59.0,53.27224406411807,10.485818086938988,37.0,70.0
2021-07-21,45,2021,7,21,2,0,3,32.0,26.6,5.399999999999999,60.0,1,1,0,0,49.0,49.0,52.857142857142854,58.214285714285715,51.20418304808855,10.869354035215395,37.0,70.0
2021-07-22,45,2021,7,22,3,0,3,32.3,26.1,6.199999999999996,193.79999999999998,1,0,0,0,45.0,57.0,51.142857142857146,57.714285714285715,49.65313728606641,11.051825964194954,37.0,70.0
2021-07-23,35,2021,7,23,4,0,3,33.4,26.0,7.399999999999999,495.3,1,0,0,0,45.0,61.0,47.42857142857143,55.357142857142854,45.98985296454981,11.544943234408393,35.0,70.0
2021-07-24,30,2021,7,24,5,1,3,35.0,25.9,9.100000000000001,0.0,0,1,0,0,35.0,70.0,41.714285714285715,52.42857142857143,41.99238972341236,7.804150299985366,30.0,51.0
2021-07-25,41,2021,7,25,6,1,3,34.7,27.6,7.100000000000001,48.400000000000006,1,1,0,0,30.0,37.0,42.285714285714285,50.357142857142854,41.744292292559265,7.543524501502032,30.0,51.0
2021-07-26,22,2021,7,26,0,0,3,35.0,27.2,7.800000000000001,131.3,1,0,0,0,41.0,51.0,38.142857142857146,47.285714285714285,36.80821921941945,9.633769968684367,22.0,49.0
2021-07-27,20,2021,7,27,1,0,3,35.6,27.8,7.800000000000001,18.8,1,0,0,0,22.0,49.0,34.0,43.714285714285715,32.60616441456459,10.392304845413378,20.0,45.0
2021-07-28,15,2021,7,28,2,0,3,35.7,27.6,8.100000000000001,0.0,0,0,0,0,20.0,45.0,29.714285714285715,41.285714285714285,28.20462331092344,11.250396818398556,15.0,45.0
2021-07-29,15,2021,7,29,3,0,3,35.8,28.2,7.599999999999998,9.3,1,0,0,0,15.0,45.0,25.428571428571427,38.285714285714285,24.903467483192582,10.113640011673322,15.0,41.0
2021-07-30,16,2021,7,30,4,0,3,36.3,27.7,8.599999999999998,0.0,0,0,0,0,15.0,35.0,22.714285714285715,35.07142857142857,22.677600612394436,9.655987533033658,15.0,41.0
2021-07-31,25,2021,7,31,5,1,3,36.1,28.1,8.0,51.6,1,0,0,0,16.0,30.0,22.0,31.857142857142858,23.25820045929583,9.201449161228524,15.0,41.0
2021-08-01,20,2021,8,1,6,1,3,35.8,26.2,9.599999999999998,44.5,1,1,0,0,25.0,41.0,19.0,30.642857142857142,22.44365034447187,3.8297084310263245,15.0,25.0
2021-08-02,82,2021,8,2,0,0,3,35.3,27.7,7.599999999999998,100.10000000000001,1,0,0,0,20.0,22.0,27.571428571428573,32.857142857142854,37.3327377583539,24.268341124856175,15.0,82.0
2021-08-03,60,2021,8,3,1,0,3,35.3,28.0,7.299999999999997,36.0,1,0,0,0,82.0,20.0,33.285714285714285,33.642857142857146,42.99955331876542,26.768851835135386,15.0,82.0
2021-08-04,67,2021,8,4,2,0,3,37.2,28.1,9.100000000000001,60.300000000000004,1,0,0,0,60.0,15.0,40.714285714285715,35.214285714285715,48.99966498907406,28.03399297111922,15.0,82.0
2021-08-05,84,2021,8,5,3,0,3,36.1,28.4,7.700000000000003,126.0,1,0,0,0,67.0,15.0,50.57142857142857,38.0,57.74974874180555,29.573958943960207,16.0,84.0
2021-08-06,90,2021,8,6,4,0,3,35.9,27.6,8.299999999999997,153.0,1,0,0,0,84.0,16.0,61.142857142857146,41.92857142857143,65.81231155635416,28.357412737110725,20.0,90.0
2021-08-07,106,2021,8,7,5,1,3,34.3,27.4,6.899999999999999,212.0,1,0,0,0,90.0,25.0,72.71428571428571,47.357142857142854,75.85923366726561,27.668961465357114,20.0,106.0
2021-08-08,108,2021,8,8,6,1,3,33.4,26.4,7.0,403.3,1,1,0,0,106.0,20.0,85.28571428571429,52.142857142857146,83.89442525044922,18.043597994064616,60.0,108.0
2021-08-09,94,2021,8,9,0,0,3,34.0,27.3,6.699999999999999,338.40000000000003,1,0,0,0,108.0,82.0,87.0,57.285714285714285,86.42081893783691,18.248287590894204,60.0,108.0
2021-08-10,92,2021,8,10,1,0,3,34.3,26.1,8.199999999999996,598.0,1,0,0,0,94.0,60.0,91.57142857142857,62.42857142857143,87.81561420337769,13.830607878386836,67.0,108.0
2021-08-11,69,2021,8,11,2,0,3,34.1,26.7,7.400000000000002,276.0,1,0,0,1,92.0,67.0,91.85714285714286,66.28571428571429,83.11171065253328,13.246742636443573,69.0,108.0
